Total Population,Male,Female,Total HH,HH Farm,HH Non-Farm,Cultivable Area,Drip/Sprinkler Farmers,Irrigated Area,Unirrigated Area,Kuccha HH,PMAY HH,Waitlisted HH,Benefitted HH,Waitlisted Specific HH,Saubhagya HH,Vocational Training,Total Farmers,Soil Testing Farmers,Labour Budget,Piped Water HH,Color
1.441085321,1.498284859,1.38454332,2.441146306,0.854131989,0.897287284,0.383834624,0.17268121,2.699454932,-0.753245512,-0.083747604,0.034803622,0.561157846,0.918618738,0.497477277,-0.159087774,-0.16422031,0.943237631,6.109127805,-0.127799591,1.962558801,green
-0.341228192,-0.377223035,-0.307074576,-0.35933187,-0.840992344,0.565493273,-0.840841884,-0.276555661,-0.490830013,-0.670650638,-0.052887721,-0.100506069,0.648288726,-0.310425358,0.178925463,-0.153908852,-0.148093697,-0.695062521,-0.187326771,0.185456426,0.260867099,red
1.003504184,0.97025342,1.031461813,1.315309245,1.15861028,1.722982047,0.708278316,-0.276555661,-0.129128184,0.992229016,0.24953913,-0.23581576,-0.310150947,3.267188148,-0.337645046,0.037711259,4.53937499,1.158446907,-0.142291781,2.979003196,1.200229822,green
-0.773627316,-0.742112685,-0.800471094,-0.600108233,-0.909304781,0.131070535,2.25425922,0.044327818,6.064979665,0.578025374,-0.052887721,-0.23581576,-0.459518169,0.346687327,-0.406521114,-0.159087774,-0.309359822,-0.352186726,-0.454722026,-0.401767399,-0.544817082,red
-0.915534749,-0.886781676,-0.939447951,-0.634564161,-0.78927007,0.00161839,1.315100878,-0.027870965,3.626010133,0.356146893,-0.157811323,-0.23581576,-0.459518169,0.188493532,-0.43234964,-0.159087774,-0.330861972,-0.516329394,-0.4603514,-0.41443322,-0.562279594,red
-0.039176626,-0.112377078,0.028419763,0.055799789,0.920492642,0.096083468,-0.211886402,-0.244467313,0.11977562,-0.226588898,0.015004021,0.711352077,-0.335045484,-0.018375276,-0.294597504,-0.159087774,0.335704677,0.67383522,-0.508201077,2.118395671,1.022593923,green
-0.152383679,-0.217609758,-0.091822937,-0.069569972,0.899998911,-0.067772625,-0.538873101,-0.260511487,-0.180865646,-0.475724703,-0.015855862,1.162384381,-0.198125531,-0.188737824,-0.37208308,-0.159087774,-0.266355522,0.008406056,-0.508201077,0.328518145,0.787151086,red
0.398205203,0.295892514,0.491421068,0.741182159,0.139779075,-0.429305642,0.178877127,-0.196334791,-0.345545006,0.299397204,-0.089919581,0.012252007,0.312212477,-0.018375276,0.411382192,-0.159087774,0.169063015,1.080283731,-0.395613601,-0.105712716,0.079618266,green
-0.389560429,-0.358335118,-0.417185538,-0.460623995,-0.395009719,-0.233378072,0.179517263,-0.0679814,-0.103230679,0.376465435,-0.145467369,0.215216543,0.025925302,0.005962231,-0.397911606,0.027353415,1.163537449,1.187106738,1.813915608,-0.520352316,-0.683915023,red
1.164644858,1.22098533,1.109648243,1.229376991,1.027840757,1.68041445,-0.248409227,-0.188312704,0.374434425,-0.729879188,-0.256562947,-0.213264145,-0.459518169,-0.018375276,-0.337645046,10.84612128,-0.088962785,1.446087391,-0.437833905,-0.344352235,1.796363858,green
-0.855642637,-0.825759175,-0.880760337,-0.845866176,-0.538465837,-0.527269428,-0.060752938,0.25290208,-0.480183261,0.196646336,-0.219531088,-0.055402839,-0.223020068,-0.079219043,0.583572362,-0.159087774,-0.330861972,-0.482979773,-0.426575157,-0.566422222,-0.712216336,red
0.621928649,0.62321389,0.619119198,0.478403819,-0.198855435,0.476859372,1.158136039,-0.027870965,-0.583773283,1.662629157,0.24953913,0.260319774,-0.048758309,1.514887655,3.140596382,-0.159087774,-0.330861972,-0.981139742,-0.440648592,-0.566419273,-0.692345202,green
-0.871288331,-0.856062866,-0.882863151,-0.916023426,-0.816595045,-0.520272015,0.695133607,-0.084025574,-0.733403316,1.140442622,-0.225703065,-0.055402839,-0.223020068,-0.10355655,0.506086785,-0.159087774,-0.330861972,-0.482979773,-0.420945783,-0.566422222,-0.836862544,red
-0.650454853,-0.619445004,-0.677169756,-0.545310854,-0.189096516,-0.76984642,0.555706739,3.060632525,3.9310252,-0.689242104,0.416182496,-0.23581576,-0.135889188,-0.383437878,-0.380692589,-0.159087774,-0.234102297,-0.427223374,-0.46879546,-0.361244063,0.120564847,red
-0.811296565,-0.79711596,-0.822072724,-0.809749721,-0.309131226,-0.933119396,0.112872974,0.774337734,1.6376572,-0.664859853,0.21250727,-0.23581576,-0.173230994,-0.334762865,-0.475397182,-0.159087774,-0.244853372,-0.467868225,-0.474424834,-0.320208213,-0.164254748,red
-0.374711968,-0.314332498,-0.429228925,-0.412053591,-0.144205485,-0.845068613,-0.289623458,0.293012515,1.393069647,-0.728863261,0.169303434,-0.23581576,-0.086100114,-0.444281645,-0.43234964,-0.159087774,-0.244853372,-0.501738935,-0.463166087,-0.279172346,0.334330082,red
-0.679852811,-0.646635303,-0.708520793,-0.571049017,0.233464703,-0.718532056,0.466263087,2.130070435,0.109704368,0.245410838,-0.059059698,-0.23581576,1.532044787,1.660912696,-0.139626351,-0.159087774,-0.325486434,-0.717469298,-0.485683582,-0.253543638,-0.326234602,red
-0.757583007,-0.730074233,-0.780781113,-0.642866794,0.755566901,-0.828741315,-0.05987604,1.728966085,0.368679424,-0.355002085,-0.133123416,-0.23581576,0.685630531,0.492712368,-0.174064385,-0.159087774,-0.330861972,-0.744044778,-0.496942329,1.519446594,-0.266019043,red
-0.39663587,-0.368297976,-0.42158233,-0.414544381,0.309584275,-0.591412383,-0.421973756,1.223574605,1.023310817,-0.87018177,1.446902579,-0.23581576,1.469808445,-0.152231563,0.893514667,-0.159087774,-0.314735359,-0.920693554,-0.429389844,-0.280067415,-0.014920161,red
